epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.075,1.5164,3.01341,1.44106,0.02583,0.69864,0.19047,0.12244,1.32544,3.3936,1.28316,0.000361516,0.000361516,0.000361516
2,924.257,1.4996,1.98842,1.34729,0.45765,0.3857,0.40516,0.24085,1.41551,2.30275,1.35293,0.000707698,0.000707698,0.000707698
3,1461.76,1.46557,1.75403,1.34395,0.49061,0.54257,0.40268,0.23491,1.45051,2.28424,1.42119,0.00102944,0.00102944,0.00102944
4,1911.7,1.42603,1.61,1.33172,0.43341,0.50055,0.52489,0.27986,1.48328,1.84304,1.4238,0.00100101,0.00100101,0.00100101
5,2365.71,1.4002,1.50077,1.29863,0.59817,0.55743,0.57761,0.32323,1.42606,1.63404,1.34462,0.000964348,0.000964348,0.000964348
6,2841.73,1.35616,1.48519,1.29291,0.54761,0.75867,0.62224,0.37321,1.34985,1.54594,1.3119,0.000927685,0.000927685,0.000927685
7,3356.86,1.36297,1.41107,1.27332,0.5839,0.74106,0.66494,0.38543,1.37349,1.52509,1.36809,0.000891022,0.000891022,0.000891022
8,3804.56,1.37003,1.33443,1.26921,0.58744,0.74513,0.65739,0.38688,1.33918,1.43235,1.31968,0.000854359,0.000854359,0.000854359
9,4243.21,1.34015,1.34789,1.25876,0.56783,0.64976,0.63653,0.38092,1.34661,1.38306,1.28491,0.000817696,0.000817696,0.000817696
10,4681.86,1.33326,1.28414,1.24375,0.49476,0.70105,0.6522,0.39322,1.30788,1.35083,1.29012,0.000781033,0.000781033,0.000781033
11,5119.69,1.32561,1.26362,1.25692,0.60167,0.7579,0.64376,0.38869,1.30275,1.33462,1.27676,0.00074437,0.00074437,0.00074437
12,5574.72,1.33124,1.18014,1.23322,0.61202,0.6592,0.66522,0.40697,1.2885,1.26043,1.24638,0.000707707,0.000707707,0.000707707
13,6073.19,1.28175,1.19086,1.22079,0.62541,0.77412,0.67487,0.39708,1.30275,1.19398,1.2682,0.000671044,0.000671044,0.000671044
14,6514.71,1.2721,1.12356,1.2255,0.54928,0.74233,0.7069,0.4441,1.26398,1.19201,1.25114,0.000634381,0.000634381,0.000634381
15,6956.13,1.2683,1.13952,1.20211,0.6584,0.6781,0.68088,0.4141,1.27526,1.20064,1.24703,0.000597718,0.000597718,0.000597718
16,7400,1.25965,1.08803,1.21342,0.61032,0.83424,0.72308,0.45144,1.2705,1.15404,1.24643,0.000561055,0.000561055,0.000561055
17,7844.99,1.22377,1.10726,1.18186,0.67642,0.661,0.71843,0.4465,1.25885,1.17543,1.23005,0.000524392,0.000524392,0.000524392
18,8282.98,1.217,1.07751,1.18608,0.69386,0.75966,0.73468,0.46285,1.27881,1.1589,1.23974,0.000487729,0.000487729,0.000487729
19,8726.17,1.23534,1.06934,1.18498,0.66677,0.67254,0.71431,0.44144,1.27093,1.17046,1.2339,0.000451066,0.000451066,0.000451066
20,9168.44,1.22589,0.99253,1.17148,0.80835,0.62467,0.72657,0.45006,1.27043,1.11861,1.25288,0.000414403,0.000414403,0.000414403
21,9603.57,1.21352,1.07996,1.18492,0.56879,0.75281,0.74768,0.46901,1.26171,1.14724,1.24996,0.00037774,0.00037774,0.00037774
22,10035.4,1.21949,1.0198,1.1823,0.63299,0.80438,0.75846,0.47782,1.25606,1.0402,1.23287,0.000341077,0.000341077,0.000341077
23,10476.7,1.17657,0.97323,1.16733,0.7062,0.73444,0.71916,0.44499,1.28153,1.10349,1.24784,0.000304414,0.000304414,0.000304414
24,10910.8,1.15122,0.9282,1.14891,0.6514,0.76008,0.71189,0.43761,1.26576,1.05443,1.23672,0.000267751,0.000267751,0.000267751
25,11384.2,1.15468,0.90997,1.13693,0.6804,0.71487,0.72222,0.46068,1.24494,1.04529,1.22805,0.000231088,0.000231088,0.000231088
26,11852.8,1.1256,0.89305,1.13229,0.75559,0.66431,0.725,0.45969,1.26302,1.05552,1.23441,0.000194425,0.000194425,0.000194425
27,12287.8,1.14428,0.8864,1.13696,0.69856,0.72443,0.71608,0.45075,1.26167,1.03685,1.22457,0.000157762,0.000157762,0.000157762
28,12716,1.11619,0.8631,1.136,0.69732,0.71582,0.71887,0.4616,1.25387,1.02975,1.22269,0.000121099,0.000121099,0.000121099
29,13152.6,1.11174,0.83754,1.12236,0.7538,0.67481,0.73907,0.47334,1.24461,1.009,1.22408,8.4436e-05,8.4436e-05,8.4436e-05
30,13585.6,1.095,0.81679,1.12412,0.72095,0.71952,0.74517,0.4799,1.24358,0.99183,1.22858,4.7773e-05,4.7773e-05,4.7773e-05
